frame,bbox_topleft_x,bbox_topleft_y,bbox_width,bbox_height,track_id,color,type,speed
0,931,79,67,51,8,4,5,6
1,931,79,66,51,8,4,5,4
2,931,79,66,52,8,4,5,3
3,931,78,67,52,8,4,5,2
4,932,79,67,53,8,4,5,1
5,932,79,66,53,8,4,5,1
6,933,80,68,53,8,4,5,1
7,934,81,66,52,8,4,5,1
8,934,81,67,53,8,4,5,3
9,935,82,67,52,8,4,5,6
10,937,83,65,52,8,4,5,10
11,936,82,67,54,8,4,5,13
12,936,83,68,54,8,4,5,16
13,936,83,67,54,8,4,5,19
14,938,85,67,53,8,4,5,22
15,938,85,68,53,8,4,5,24
16,938,85,69,54,8,4,5,25
17,939,86,68,54,8,4,5,26
18,939,87,68,53,8,4,5,27
19,941,87,68,52,8,4,5,28
20,942,87,69,54,8,4,5,27
21,942,87,70,55,8,4,5,27
22,943,87,69,55,8,4,5,28
23,943,88,71,55,8,4,5,29
24,945,89,71,54,8,4,5,30
25,946,90,69,55,8,4,5,31
26,946,90,69,55,8,4,5,32
27,945,91,71,54,8,4,5,32
28,946,92,71,54,8,4,5,33
29,947,93,69,55,8,4,5,32
30,948,94,70,55,8,4,5,32
31,949,95,69,53,8,4,5,31
32,949,96,69,52,8,4,5,30
33,949,96,71,54,8,4,5,30
34,951,97,68,53,8,4,5,30
35,951,97,68,53,8,4,5,30
36,952,98,67,53,8,4,5,31
37,952,98,68,53,8,4,5,31
38,951,98,69,53,8,4,5,32
39,951,98,70,53,8,4,5,32
40,951,99,71,54,8,4,5,32
41,950,98,71,55,8,4,5,32
42,950,100,71,55,8,4,5,32
43,951,99,71,55,8,4,5,32
44,951,100,71,55,8,4,5,32
45,951,100,72,56,8,4,5,31
46,952,100,72,57,8,4,5,31
47,953,100,73,57,8,4,5,31
48,952,100,73,57,8,4,5,32
49,953,101,73,57,8,4,5,33
50,954,102,75,59,8,4,5,33
51,956,102,73,59,8,4,5,33
52,957,103,73,57,8,4,5,34
53,958,104,74,59,8,4,5,34
54,959,104,74,60,8,4,5,35
55,959,105,74,59,8,4,5,35
56,960,106,75,59,8,4,5,35
57,959,107,76,60,8,4,5,35
58,959,107,76,60,8,4,5,35
59,959,108,78,60,8,4,5,35
60,959,108,79,62,8,4,5,36
61,961,110,78,60,8,4,5,37
62,960,111,80,60,8,4,5,39
63,961,111,80,62,8,4,5,40
64,962,111,79,62,8,4,5,41
65,962,112,79,62,8,4,5,42
66,962,112,80,63,8,4,5,42
67,962,114,80,62,8,4,5,42
68,962,114,80,65,8,4,5,41
69,962,114,82,64,8,4,5,40
70,961,114,82,64,8,4,5,38
71,962,116,82,66,8,4,5,38
72,963,116,81,65,8,4,5,38
73,963,118,81,65,8,4,5,38
74,962,120,81,65,8,4,5,38
75,962,121,82,66,8,4,5,38
76,962,123,82,65,8,4,5,38
77,961,124,83,66,8,4,5,37
78,960,123,84,68,8,4,5,37
79,960,125,85,67,8,4,5,37
80,959,126,85,68,8,4,5,38
81,958,126,85,69,8,4,5,39
82,958,127,85,69,8,4,5,39
83,957,129,86,69,8,4,5,40
84,954,129,89,71,8,4,5,40
85,954,132,91,70,8,4,5,40
86,951,133,93,71,8,4,5,40
87,952,134,91,72,8,4,5,40
88,952,134,92,72,8,4,5,40
89,951,135,92,73,8,4,5,40
90,950,137,94,73,8,4,5,40
91,949,138,94,74,8,4,5,40
92,949,138,93,74,8,4,5,41
93,949,141,95,73,8,4,5,42
94,948,142,96,74,8,4,5,42
95,948,145,96,75,8,4,5,42
96,947,145,98,78,8,4,5,42
97,947,147,97,77,8,4,5,41
98,945,147,100,78,8,4,5,40
99,944,150,101,79,8,4,5,39
100,944,152,103,80,8,4,5,39
101,943,155,103,80,8,4,5,38
102,941,155,102,81,8,4,5,38
103,940,157,103,81,8,4,5,38
104,939,160,102,79,8,4,5,40
105,938,159,103,85,8,4,5,41
106,938,162,103,83,8,4,5,42
107,934,164,107,83,8,4,5,42
